# amplicon position	effect
1	1.000000000000000000e+00
2	1.600000000000000000e+01
3	6.000000000000000000e+00
4	4.000000000000000000e+00
5	2.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	1.000000000000000000e+00
9	1.000000000000000000e+00
10	2.000000000000000000e+00
11	2.000000000000000000e+00
12	1.000000000000000000e+00
13	0.000000000000000000e+00
14	1.000000000000000000e+00
15	1.300000000000000000e+01
16	2.000000000000000000e+00
17	5.000000000000000000e+00
18	6.200000000000000000e+01
19	9.000000000000000000e+00
20	0.000000000000000000e+00
21	3.000000000000000000e+00
22	3.000000000000000000e+00
23	2.000000000000000000e+00
24	2.000000000000000000e+00
25	7.000000000000000000e+00
26	3.000000000000000000e+00
27	1.000000000000000000e+00
28	1.000000000000000000e+00
29	2.000000000000000000e+00
30	1.000000000000000000e+00
31	7.000000000000000000e+00
32	2.000000000000000000e+00
33	7.000000000000000000e+00
34	1.100000000000000000e+01
35	4.000000000000000000e+00
36	2.000000000000000000e+00
37	3.000000000000000000e+00
38	1.000000000000000000e+00
39	3.000000000000000000e+00
40	2.000000000000000000e+00
41	2.000000000000000000e+00
42	0.000000000000000000e+00
43	1.000000000000000000e+00
44	3.000000000000000000e+00
45	1.000000000000000000e+00
46	0.000000000000000000e+00
47	5.000000000000000000e+00
48	9.000000000000000000e+00
49	0.000000000000000000e+00
50	5.000000000000000000e+00
51	3.000000000000000000e+00
52	6.000000000000000000e+00
53	3.000000000000000000e+00
54	3.000000000000000000e+00
55	3.000000000000000000e+00
56	5.000000000000000000e+00
57	0.000000000000000000e+00
58	1.000000000000000000e+00
59	2.000000000000000000e+00
60	0.000000000000000000e+00
61	2.000000000000000000e+00
62	0.000000000000000000e+00
63	0.000000000000000000e+00
64	2.000000000000000000e+00
65	3.000000000000000000e+00
66	5.000000000000000000e+00
67	4.000000000000000000e+00
68	3.000000000000000000e+00
69	1.000000000000000000e+00
70	1.000000000000000000e+01
71	9.000000000000000000e+00
72	2.000000000000000000e+00
73	0.000000000000000000e+00
74	2.000000000000000000e+00
75	1.000000000000000000e+00
76	4.000000000000000000e+00
77	3.000000000000000000e+00
78	1.000000000000000000e+00
79	6.000000000000000000e+00
80	8.000000000000000000e+00
81	1.000000000000000000e+00
82	3.000000000000000000e+00
83	2.000000000000000000e+00
84	1.600000000000000000e+01
85	5.000000000000000000e+00
86	3.000000000000000000e+00
87	2.200000000000000000e+01
88	8.000000000000000000e+00
89	3.000000000000000000e+00
90	5.000000000000000000e+00
91	0.000000000000000000e+00
92	5.000000000000000000e+00
93	1.400000000000000000e+01
94	9.000000000000000000e+00
95	4.000000000000000000e+00
96	0.000000000000000000e+00
97	3.000000000000000000e+00
98	7.000000000000000000e+00
99	1.000000000000000000e+00
100	2.000000000000000000e+00
101	8.000000000000000000e+00
102	2.000000000000000000e+01
103	1.000000000000000000e+00
104	2.400000000000000000e+01
105	0.000000000000000000e+00
106	3.000000000000000000e+00
107	1.000000000000000000e+00
108	4.000000000000000000e+00
109	0.000000000000000000e+00
110	5.000000000000000000e+00
111	1.400000000000000000e+01
112	5.000000000000000000e+00
113	1.000000000000000000e+00
114	5.000000000000000000e+00
115	3.000000000000000000e+00
116	5.000000000000000000e+00
117	2.000000000000000000e+00
118	4.000000000000000000e+00
119	3.000000000000000000e+00
120	3.000000000000000000e+00
121	2.000000000000000000e+00
122	1.000000000000000000e+00
123	4.000000000000000000e+00
124	3.000000000000000000e+00
125	0.000000000000000000e+00
126	2.000000000000000000e+00
127	3.000000000000000000e+00
128	2.000000000000000000e+00
129	7.000000000000000000e+00
130	3.000000000000000000e+00
131	1.000000000000000000e+00
132	3.000000000000000000e+00
133	4.000000000000000000e+00
134	3.000000000000000000e+00
135	2.000000000000000000e+00
136	3.000000000000000000e+00
137	5.000000000000000000e+00
138	7.000000000000000000e+00
139	5.000000000000000000e+00
140	0.000000000000000000e+00
141	4.000000000000000000e+00
142	1.200000000000000000e+01
143	6.000000000000000000e+00
144	1.300000000000000000e+01
145	5.000000000000000000e+00
146	9.000000000000000000e+00
147	3.000000000000000000e+00
148	5.000000000000000000e+00
149	5.000000000000000000e+00
150	3.000000000000000000e+00
151	1.000000000000000000e+00
152	7.000000000000000000e+00
153	5.000000000000000000e+00
154	3.000000000000000000e+00
155	2.000000000000000000e+00
156	2.500000000000000000e+01
157	6.000000000000000000e+00
158	1.000000000000000000e+00
159	5.000000000000000000e+00
160	3.700000000000000000e+01
161	1.000000000000000000e+00
162	2.181000000000000000e+03
163	1.907000000000000000e+03
164	4.000000000000000000e+00
165	3.000000000000000000e+00
166	2.000000000000000000e+00
167	1.775000000000000000e+03
168	5.000000000000000000e+00
169	1.000000000000000000e+01
170	7.000000000000000000e+00
171	1.000000000000000000e+00
172	8.400000000000000000e+01
173	1.000000000000000000e+01
174	2.400000000000000000e+01
175	6.000000000000000000e+00
176	2.200000000000000000e+01
177	3.000000000000000000e+00
178	3.000000000000000000e+00
179	4.700000000000000000e+01
180	6.400000000000000000e+01
181	2.000000000000000000e+01
182	4.600000000000000000e+01
183	5.000000000000000000e+00
184	5.600000000000000000e+01
185	1.270000000000000000e+02
186	9.600000000000000000e+01
187	7.900000000000000000e+01
188	4.000000000000000000e+00
189	9.900000000000000000e+01
190	2.800000000000000000e+01
191	1.589000000000000000e+03
192	3.000000000000000000e+00
193	5.000000000000000000e+00
194	8.160000000000000000e+02
195	4.070000000000000000e+02
196	6.880000000000000000e+02
197	1.453000000000000000e+03
198	1.299000000000000000e+03
199	8.780000000000000000e+02
200	5.940000000000000000e+02
201	1.640000000000000000e+02
202	1.200000000000000000e+01
203	4.380000000000000000e+02
204	3.300000000000000000e+01
205	2.200000000000000000e+01
206	8.000000000000000000e+00
207	1.330000000000000000e+02
208	1.300000000000000000e+01
209	9.400000000000000000e+01
210	1.800000000000000000e+01
211	6.000000000000000000e+01
212	1.100000000000000000e+01
213	5.900000000000000000e+01
214	2.400000000000000000e+01
215	8.000000000000000000e+00
216	5.300000000000000000e+01
217	1.100000000000000000e+01
218	7.000000000000000000e+00
219	1.900000000000000000e+01
220	2.600000000000000000e+01
221	5.690000000000000000e+02
222	4.700000000000000000e+01
223	5.760000000000000000e+02
224	2.000000000000000000e+01
225	4.230000000000000000e+02
226	9.000000000000000000e+00
227	0.000000000000000000e+00
228	8.000000000000000000e+00
229	4.920000000000000000e+02
230	2.200000000000000000e+01
231	6.410000000000000000e+02
232	8.000000000000000000e+00
233	4.690000000000000000e+02
234	1.600000000000000000e+01
235	1.200000000000000000e+01
236	4.400000000000000000e+02
237	1.300000000000000000e+01
238	5.000000000000000000e+00
239	1.120000000000000000e+02
240	6.000000000000000000e+00
241	2.000000000000000000e+00
242	6.000000000000000000e+00
243	5.000000000000000000e+00
244	1.500000000000000000e+02
245	1.510000000000000000e+02
246	1.000000000000000000e+00
247	4.220000000000000000e+02
248	5.000000000000000000e+02
249	3.000000000000000000e+00
250	1.520000000000000000e+02
251	2.650000000000000000e+02
252	1.900000000000000000e+01
253	7.900000000000000000e+01
254	7.800000000000000000e+01
