# amplicon position	effect
1	0.000000000000000000e+00
2	1.400000000000000000e+01
3	2.000000000000000000e+00
4	6.000000000000000000e+00
5	6.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	1.000000000000000000e+00
9	3.000000000000000000e+00
10	0.000000000000000000e+00
11	5.000000000000000000e+00
12	2.000000000000000000e+00
13	4.000000000000000000e+00
14	2.000000000000000000e+00
15	4.000000000000000000e+00
16	1.800000000000000000e+01
17	6.000000000000000000e+00
18	1.120000000000000000e+02
19	1.100000000000000000e+01
20	2.000000000000000000e+00
21	3.000000000000000000e+00
22	5.000000000000000000e+00
23	0.000000000000000000e+00
24	3.000000000000000000e+00
25	1.100000000000000000e+01
26	3.000000000000000000e+00
27	3.000000000000000000e+00
28	2.000000000000000000e+00
29	2.000000000000000000e+00
30	0.000000000000000000e+00
31	5.000000000000000000e+00
32	1.000000000000000000e+00
33	9.000000000000000000e+00
34	1.500000000000000000e+01
35	1.000000000000000000e+00
36	1.000000000000000000e+00
37	3.000000000000000000e+00
38	1.000000000000000000e+00
39	2.000000000000000000e+00
40	2.000000000000000000e+00
41	1.000000000000000000e+00
42	1.000000000000000000e+00
43	3.000000000000000000e+00
44	5.000000000000000000e+00
45	3.000000000000000000e+00
46	2.000000000000000000e+00
47	9.000000000000000000e+00
48	1.600000000000000000e+01
49	2.000000000000000000e+00
50	1.200000000000000000e+01
51	4.000000000000000000e+00
52	1.000000000000000000e+00
53	2.000000000000000000e+00
54	4.000000000000000000e+00
55	3.000000000000000000e+00
56	2.000000000000000000e+00
57	1.000000000000000000e+00
58	1.000000000000000000e+00
59	2.000000000000000000e+00
60	1.000000000000000000e+00
61	6.000000000000000000e+00
62	1.000000000000000000e+00
63	1.000000000000000000e+00
64	2.000000000000000000e+00
65	3.000000000000000000e+00
66	1.300000000000000000e+01
67	1.000000000000000000e+00
68	1.200000000000000000e+01
69	1.000000000000000000e+01
70	1.000000000000000000e+01
71	1.500000000000000000e+01
72	1.000000000000000000e+00
73	1.000000000000000000e+00
74	1.000000000000000000e+00
75	1.000000000000000000e+00
76	3.000000000000000000e+00
77	4.000000000000000000e+00
78	7.000000000000000000e+00
79	1.500000000000000000e+01
80	2.000000000000000000e+00
81	1.000000000000000000e+00
82	2.000000000000000000e+00
83	2.000000000000000000e+00
84	1.400000000000000000e+01
85	9.000000000000000000e+00
86	5.000000000000000000e+00
87	2.100000000000000000e+01
88	1.400000000000000000e+01
89	7.000000000000000000e+00
90	3.000000000000000000e+00
91	4.000000000000000000e+00
92	4.000000000000000000e+00
93	1.300000000000000000e+01
94	1.200000000000000000e+01
95	3.000000000000000000e+00
96	8.000000000000000000e+00
97	4.000000000000000000e+00
98	5.000000000000000000e+00
99	3.000000000000000000e+00
100	0.000000000000000000e+00
101	2.000000000000000000e+00
102	4.900000000000000000e+01
103	3.000000000000000000e+00
104	5.000000000000000000e+00
105	3.000000000000000000e+00
106	5.000000000000000000e+00
107	3.000000000000000000e+00
108	1.000000000000000000e+00
109	3.000000000000000000e+00
110	9.000000000000000000e+00
111	9.000000000000000000e+00
112	1.000000000000000000e+00
113	2.000000000000000000e+00
114	2.000000000000000000e+00
115	2.000000000000000000e+00
116	1.300000000000000000e+01
117	0.000000000000000000e+00
118	2.000000000000000000e+00
119	3.000000000000000000e+00
120	2.000000000000000000e+00
121	1.000000000000000000e+00
122	6.000000000000000000e+00
123	4.000000000000000000e+00
124	6.000000000000000000e+00
125	0.000000000000000000e+00
126	2.000000000000000000e+00
127	0.000000000000000000e+00
128	4.000000000000000000e+00
129	1.200000000000000000e+01
130	7.000000000000000000e+00
131	2.000000000000000000e+00
132	4.000000000000000000e+00
133	7.000000000000000000e+00
134	5.000000000000000000e+00
135	0.000000000000000000e+00
136	4.000000000000000000e+00
137	4.000000000000000000e+00
138	1.000000000000000000e+00
139	1.200000000000000000e+01
140	4.000000000000000000e+00
141	1.100000000000000000e+01
142	1.000000000000000000e+01
143	3.000000000000000000e+00
144	1.800000000000000000e+01
145	2.000000000000000000e+00
146	1.000000000000000000e+00
147	3.000000000000000000e+00
148	5.000000000000000000e+00
149	1.000000000000000000e+01
150	1.000000000000000000e+00
151	1.000000000000000000e+00
152	1.800000000000000000e+01
153	1.300000000000000000e+01
154	4.000000000000000000e+00
155	5.000000000000000000e+00
156	5.200000000000000000e+01
157	6.000000000000000000e+00
